tamMatriz,numProcesos,numHilos,repeticion,tiempo_seg
512,2,8,16,1.856717
512,2,8,17,1.821991
512,2,8,18,1.551058
512,2,8,19,1.486373
512,2,8,20,1.809719
512,2,8,21,1.490807
512,2,8,22,1.789984
512,2,8,23,1.561431
512,2,8,24,1.489557
512,2,8,25,1.518274
512,2,8,26,1.851606
512,2,8,27,1.508897
512,2,8,28,1.703071
512,2,8,29,1.868329
512,2,8,30,1.493257
512,4,1,1,0.758180
512,4,1,2,0.778474
512,4,1,3,0.774037
512,4,1,4,0.775212
512,4,1,5,0.776452
512,4,1,6,0.778088
512,4,1,7,0.787507
512,4,1,8,0.798048
512,4,1,9,0.778701
512,4,1,10,0.783479
512,4,1,11,0.756733
512,4,1,12,0.785068
512,4,1,13,0.772153
512,4,1,14,0.792541
512,4,1,15,0.787673
512,4,1,16,1.790289
512,4,1,17,0.789253
512,4,1,18,0.778140
512,4,1,19,0.771142
512,4,1,20,0.803514
512,4,1,21,0.776915
512,4,1,22,0.777440
512,4,1,23,0.795697
512,4,1,24,0.791193
512,4,1,25,0.779193
512,4,1,26,0.788675
512,4,1,27,0.789659
512,4,1,28,0.768746
512,4,1,29,0.790131
512,4,1,30,0.789427
512,4,2,1,0.784207
512,4,2,2,0.794326
512,4,2,3,0.814543
512,4,2,4,0.801157
512,4,2,5,0.793222
512,4,2,6,0.774464
512,4,2,7,0.789195
512,4,2,8,0.777571
512,4,2,9,0.782931
512,4,2,10,0.800382
512,4,2,11,0.794753
512,4,2,12,0.782658
512,4,2,13,0.815772
512,4,2,14,0.800918
512,4,2,15,0.785072
512,4,2,16,0.818167
512,4,2,17,0.807416
512,4,2,18,0.784535
512,4,2,19,0.813778
512,4,2,20,0.790235
512,4,2,21,0.796528
512,4,2,22,0.790258
512,4,2,23,0.785004
512,4,2,24,0.785932
512,4,2,25,0.792903
512,4,2,26,0.798287
512,4,2,27,0.772242
512,4,2,28,0.800633
512,4,2,29,0.816333
512,4,2,30,0.773573
512,4,4,1,0.776476
512,4,4,2,0.783510
512,4,4,3,0.775181
512,4,4,4,0.815305
512,4,4,5,0.783300
512,4,4,6,0.781105
512,4,4,7,0.856982
512,4,4,8,0.796148
512,4,4,9,0.784636
512,4,4,10,0.782391
512,4,4,11,0.802367
512,4,4,12,0.774091
512,4,4,13,0.787008
512,4,4,14,0.775991
512,4,4,15,0.767704
512,4,4,16,0.768033
512,4,4,17,0.778302
512,4,4,18,0.793134
512,4,4,19,0.805402
512,4,4,20,0.787062
512,4,4,21,0.784914
512,4,4,22,0.788205
512,4,4,23,0.832314
512,4,4,24,0.792975
512,4,4,25,0.823396
512,4,4,26,0.776869
512,4,4,27,0.795410
512,4,4,28,0.794127
512,4,4,29,0.785511
512,4,4,30,0.792281
512,4,8,1,0.771393
512,4,8,2,0.780090
512,4,8,3,0.774889
512,4,8,4,0.791243
512,4,8,5,0.792881
512,4,8,6,0.786010
512,4,8,7,0.810620
512,4,8,8,0.771192
512,4,8,9,0.797010
512,4,8,10,0.782303
512,4,8,11,0.786434
512,4,8,12,0.801277
512,4,8,13,0.772245
512,4,8,14,0.795594
512,4,8,15,0.800063
512,4,8,16,0.772152
512,4,8,17,0.801437
512,4,8,18,0.777472
512,4,8,19,0.809376
512,4,8,20,0.809237
512,4,8,21,0.802792
512,4,8,22,0.775091
512,4,8,23,0.773839
512,4,8,24,0.775895
512,4,8,25,0.788983
512,4,8,26,0.809925
512,4,8,27,0.787241
512,4,8,28,1.796763
512,4,8,29,0.772187
512,4,8,30,0.791670
1024,1,1,1,1.789503
1024,1,1,2,1.780336
1024,1,1,3,1.765033
1024,1,1,4,1.769063
1024,1,1,5,1.791506
1024,1,1,6,1.780852
1024,1,1,7,1.768547
1024,1,1,8,1.772971
1024,1,1,9,1.751905
1024,1,1,10,1.760101
1024,1,1,11,1.759837
1024,1,1,12,1.766601
1024,1,1,13,1.777342
1024,1,1,14,1.781869
1024,1,1,15,1.752367
1024,1,1,16,1.770339
1024,1,1,17,1.777056
1024,1,1,18,1.772846
1024,1,1,19,1.761933
1024,1,1,20,1.758069
1024,1,1,21,1.766662
1024,1,1,22,1.773895
1024,1,1,23,1.757843
1024,1,1,24,1.758165
1024,1,1,25,1.752928
1024,1,1,26,1.759015
1024,1,1,27,1.769590
1024,1,1,28,1.799886
1024,1,1,29,1.776050
1024,1,1,30,1.776064
1024,1,2,1,1.770535
1024,1,2,2,1.750474
1024,1,2,3,1.773967
1024,1,2,4,1.761424
1024,1,2,5,1.759307
1024,1,2,6,1.766226
1024,1,2,7,2.761442
1024,1,2,8,1.763888
1024,1,2,9,1.782286
1024,1,2,10,1.794989
1024,1,2,11,1.763573
1024,1,2,12,1.779832
1024,1,2,13,1.781444
1024,1,2,14,1.804303
1024,1,2,15,1.754117
1024,1,2,16,1.774145
1024,1,2,17,1.761069
1024,1,2,18,1.764576
1024,1,2,19,1.765347
1024,1,2,20,1.755151
1024,1,2,21,1.762944
1024,1,2,22,1.758513
1024,1,2,23,1.778153
1024,1,2,24,1.751040
1024,1,2,25,1.755898
1024,1,2,26,1.757363
1024,1,2,27,1.736971
1024,1,2,28,1.743608
1024,1,2,29,1.761159
1024,1,2,30,1.767749
1024,1,4,1,1.786310
1024,1,4,2,1.750544
1024,1,4,3,1.789790
1024,1,4,4,1.771408
1024,1,4,5,1.740478
1024,1,4,6,1.757191
1024,1,4,7,1.761315
1024,1,4,8,1.778684
1024,1,4,9,1.786133
1024,1,4,10,1.765657
1024,1,4,11,1.754313
1024,1,4,12,1.771570
1024,1,4,13,1.760020
1024,1,4,14,1.798886
1024,1,4,15,1.761789
1024,1,4,16,1.741965
1024,1,4,17,1.756264
1024,1,4,18,1.751297
1024,1,4,19,1.758299
1024,1,4,20,1.764553
1024,1,4,21,1.751723
1024,1,4,22,1.791520
1024,1,4,23,1.758367
1024,1,4,24,1.751467
1024,1,4,25,1.746948
1024,1,4,26,1.774535
1024,1,4,27,1.759741
1024,1,4,28,1.768944
1024,1,4,29,1.745762
1024,1,4,30,1.753450
1024,1,8,1,1.756725
1024,1,8,2,1.775008
1024,1,8,3,1.776468
1024,1,8,4,1.756358
1024,1,8,5,1.789189
1024,1,8,6,1.758096
1024,1,8,7,1.775258
1024,1,8,8,1.751187
1024,1,8,9,1.751759
1024,1,8,10,1.764576
1024,1,8,11,1.790923
1024,1,8,12,1.764694
1024,1,8,13,1.772507
1024,1,8,14,1.780428
1024,1,8,15,1.761161
1024,1,8,16,1.757921
1024,1,8,17,1.783972
1024,1,8,18,1.805472
1024,1,8,19,1.768178
1024,1,8,20,1.772999
1024,1,8,21,1.770070
1024,1,8,22,1.763034
1024,1,8,23,1.774722
1024,1,8,24,1.778561
1024,1,8,25,1.769635
1024,1,8,26,1.758942
1024,1,8,27,1.766078
1024,1,8,28,1.766367
1024,1,8,29,1.764381
1024,1,8,30,1.738810
1024,2,1,1,9.877015
1024,2,1,2,7.107504
1024,2,1,3,8.960549
1024,2,1,4,6.141871
1024,2,1,5,9.860743
1024,2,1,6,6.967676
1024,2,1,7,9.222356
1024,2,1,8,10.304282
1024,2,1,9,6.223554
1024,2,1,10,6.153703
1024,2,1,11,7.638782
1024,2,1,12,10.140628
1024,2,1,13,9.850777
1024,2,1,14,10.555603
1024,2,1,15,6.249674
1024,2,1,16,6.441776
1024,2,1,17,9.095509
1024,2,1,18,5.987565
1024,2,1,19,7.633352
1024,2,1,20,6.299011
1024,2,1,21,8.771525
1024,2,1,22,9.793226
1024,2,1,23,6.647148
1024,2,1,24,6.451694
1024,2,1,25,9.977294
1024,2,1,26,9.254069
1024,2,1,27,6.478421
1024,2,1,28,7.309738
1024,2,1,29,6.769092
1024,2,1,30,6.500059
1024,2,2,1,7.084437
